Category,Location,Resume,Applied_Jobs
java developer,da nang,"technicalskills springmvc, hibernate, jdbc, java, jee, azureweb suntechnologies services, jsp, struts, servlet, restapi. scripting javascript, ajax, html, json. opensourcetechnologies php. database mssql, mysql, oracle. webservers apachetomcatserver. internettechnologiesand onesignalwebpushnotifications, azurewebservices, frameworks ionic, html, json operatingsystem windowsserverr, winxp//./, linux, mac os education details august to july be computer engineering nashik, maharashtra late g.n. sapkal coe nashik july to june diploma computer technology nashik, maharashtra k k wagh polytechnic nashik java developer java developer skill details ajax- exprience - months database- exprience - months html- exprience - months jee- exprience - months java- exprience - months spring mvc- exprience - months ionic - exprience - months angular js- exprience - months spring- exprience - less than year months java- exprience - less than year monthscompany details company - replete business solutions pvt ltd description - working as java developer in spring mvc, mysql, mssql, java, jee, ajax, javascript, ionic framework, angular js etc. technologies.","['java developer (spring boot) - up to 30m', 'fullstack java developer (spring boot, mysql, angular)', 'mid java (sping) developer', 'senior java developer (ide plugin/extension)']"
hadoop,ha noi,"skill set: hadoop, map reduce, hdfs, hive, sqoop, java. duration: to . role: hadoop developer rplus offers an quick, simple and powerful cloud based solution, demand sense to accurately predict demand for your product in all your markets which combines enterprise and external data to predict demand more accurately through uses social conversation and sentiments to derive demand and identifies significant drivers of sale out of hordes of factors that selects the best suited model out of multiple forecasting models for each product. responsibilities: involved in deploying the product for customers, gathering requirements and algorithm optimization at backend of the product. load and transform large datasets of structured semi structured. responsible to manage data coming from different sources and application supported map reduce programs those are running on the cluster involved in creating hive tables, loading with data and writing hive queries which will run internally in map reduce way.education details hadoop developer hadoop developer - braindatawire skill details apache hadoop hdfs- exprience - months apache hadoop sqoop- exprience - months hadoop- exprience - months hadoop- exprience - months hadoop distributed file system- exprience - monthscompany details company - braindatawire description - technical skills: programming: core java, map reduce, scala hadoop tools: hdfs, spark, map reduce, sqoop, hive, hbase database: mysql, oracle scripting: shell scripting ide: eclipse operating systems: linux (centos), windows source control: git (github)","['(senior) data scientist, zalopay', 'data product executive', 'senior data engineer', 'sr ai research&engineer(data analyst, python, database)']"
health and fitness,ho chi minh,"education details january to january first year science mumbai, maharashtra st micheal high personal fitness trainer level personal trainer skill details company details company - golds gym ,fitness solution,flora hotel description - certification : american college of sports science golds gym heart saver reps level responsibilities to obtain a challenging position which will commensurate with my qualification and experience in the field of health and fitness environment. accomplishments good skills used fitness","['senior sre (shift work, aws, english)', 'scrum master', 'technical scrum master', 'senior devops engineer (aws, terraform)']"
network security engineer,ho chi minh,"technical expertise: cisco asa, checkpoint firewall (gaia, splat), palo alto firewalls firewall management tools: cisco security management (csm), checkpoint smart center, palo alto panorama f load balancer (ltm) networking hands on cisco router and cisco switches, security management & event management: rsaenvision ., ticketing tools - bmc remedy, service-now other technologies: software languages: python, vb scriptingeducation details january to january bachelor of engineering information technology mumbai, maharashtra mumbai university senior network security analyst senior network security analyst - accenture skill details firewalls- exprience - months cisco- exprience - months security- exprience - months firewall- exprience - months checkpoint- exprience - monthscompany details company - accenture description - install, configure, upgrades and troubleshoot cisco asa firewalls ( -x) which includes single and multi-context firewalls f ltm configuration (vip, pools), ssl offloading, certificate renewals, code upgrade and troubleshoot issues pulse secure (juniper) management includes creating roles/ realm, polices for remote access, reverse proxy and code upgrade pac file configuration preparing design documents (hld, lld), ip schema and configuration of all network devices as per customer requirements in data center environment incident management, change management, problem management ( itil process) key projects- worked on resiliency project like firewall policy lockdown. software code upgrade on all firewalls and load balancers. end to end co-ordination for firewall deployment tools: cisco security manager .x company - zensar technologies description - install, upgrades checkpoint firewalls gaia r, r and policy deployment troubleshoot checkpoint firewalls, palo alto firewall and cisco asa's for multiple sites belongs to us, canada and emea region. configure, upgrades, troubleshoot cisco routers ( cisco xx, xx, xx) and cisco switches (, ) and cisco meraki ap in meraki cloud f ltm configuration and troubleshooting the operational issues company - infosys technologies description - responsibilities: install, configure, upgrade and troubleshoot checkpoint firewalls, cisco routers, switches configure, monitor and troubleshoot issues within organization lan, wan and customer connectivity networks. interface with vendors and service providers ensuring that hardware or software problems were dealt with efficiently and effectively, with minimal downtime company - hcl-comnet description - responsibilities: event moitoring and administration of rsa envision . siem. proficient in researching traffic patterns to identify false-positives and/or malicious traffic within ids, ips, scanners (qualis) and firewalls. experience in writing correlation rules, parsers & developing uds for unsupported device logs. analyze a large volume of security events while maintaining a high quality of analysis change configuration management exposure company - wipro technologies description - administrator, manage and troubleshoot multi-vendor network infrastructure consisting of cisco, juniper platforms ( cisco router , cisco stack-wise switches e and access switch, cisco chassis, cisco / asa firewalls, juniper sa ssl vpn) provisioning and troubleshooting access issues related to rsa and entrust (fa) user accounts. taking all network and security devices configuration back up on weekly and monthly basis.","['it security (networking, system admin)', 'cyber security senior manager', 'information security officer', 'it systems support engineer']"
mechanical engineer,ha noi,"education details may to september diploma mechanical engg mumbai, maharashtra institute of mechanical engg may to may diploma mechanical engg. services ites may to may mumbai, maharashtra industrial training institute sr. executive-mechanical engineering- automation & projects consultant sr. executive-mechanical engineering- automation & projects consultant - mechanical engineering skill details microsoft office -word ,excel,auto cad,micro station j erp d modeling software- exprience - monthscompany details company - mechanical engineering description - role & responsibilities: - application engineering / pre sales & inside sales provide applications support to inside sales personnel and outside sales channels, provide product selection and materials of construction technical recommendations. participate in the necessary training activities to establish technical competency & also participate in field service trips as directed by top mgmt. assist brand managers and/or product managers as needed. takes active role as support for the projects quotations team, being responsible for the technical part of project quotation including selection, sizing and costing of pneumatic automation products, valves, linear & rotary actuator and field fabrication & equipment on the basis of the customer's data sheets and engineering drawing. travel as required to support the field sales channel and to promote company products and services. perform detailed reviews of customer specifications, providing comments, clarifications and alternatives to customer requirements. sizing and selection of valves, actuators and prepare cost effective techno-commercial quotations, solutions as per customers technical requirements. coordinate with other technical departments as required, in order to minimize technical and cost risk. sending quotations accurately and on-time, including all technical and commercial as per customer documentation requests. participate in the customer negotiation process, including commercial and technical negotiations. follow up of quotations to close the order also follow up for payment collection. perform po reviews to ensure that all critical elements are correct and take up to senior top managements and customer in case of any discrepancies, and get po amendment if required. create the order transfer file for submission to the factory in accordance with po. support factory for any post order activities & after sales service where necessary to develop and maintain good customer service. role & responsibilities: - proposal/estimation engineering & products costing review and receive the rfqs for company products and solutions. estimation of pneumatic automation products & projects, valves, linear & rotary actuator and field equipment, piping, fabricated equipment's etc. plotting enquiries to vendors for critical bought out items. continuous follow up with vendors for quotations. applying thumb rule or standard practice of design while estimating for achieving accuracy with less time. analyzing & evaluating estimated cost and actual cost of the jobs already manufactured in past to arrive at a realistic cost estimates. maintaining databanks of all quotations for readily available to others also. coordinating with instrumentation & electrical dept. for costing. handling estimation department while submitting offers on time. visit to site for site projects, if required. co-ordination with purchase and process departments. attending customer enquiries meeting. development of vendors. preparation of statement enquiries pending for estimation/ under progress understand the client's concern / pain area / requirement, offer most suitable & optimized the tailor made or predesigned chemtronics solution with techno-commercial proposal which should be technically feasible & commercially viable. assign work to jr. proposal executives/engineers guide & coordinate with design, cad, sales, marketing, project & commercial department. role & responsibilities: - engg. procurement & purchase, vendor development & supply chain. procurement of steel/raw material & semi-finish products based on projects requirement. continuous improvement in negotiation process & cost saving opportunities. turn round time improvement & new vendor development contract management & tenders. to achieve target savings against budget and/or last purchase rates & develop new vendors. & obtaining quotation and finalization. research and evaluate potential vendors and suppliers, request quotes and do technical comparisons of prices, also maintain good relationships with vendors and suppliers. examine and review products and supplies to ensure quality & digitize procurement processes. track incoming & future purchasing plans, projects inventory, delivery arrival time, and note actual arrival time organize and update database of suppliers, delivery times, invoices, and quantity of supplies. collaborate with financial team members on contracts, invoicing, and other financial matters finding out the suppliers for buying various materials from products finders as well as from internet source. create rfq for materials for projects, departments, for project materials, equipment's and services. review vendor evaluation & vendor registration from supply time & quality of products. company - proposal & estimation description - m/s duncan engineering ltd, pune, ranjangaon midc role & responsibilities:- project execution, vendor development, supply chain management, interacting with vendors to ensure timely action of order & negotiating with the vendor. work directly with customer to understand their process and develop the best solution for their requirement, lead proposal engineering team & technical support to customer. work with sales team to professionally represent the company at a customer, gather data and ask the right question to define a project. work with our engineers and designer to develop and quote cost effective solution. cost estimation, preparing proposal & quotation base on technical specification of customer requirement & identify production process and machines/brought out item requirements. & co-ordinate with customer to understand exact requirements. identification of critical problem & work out proper solution in specified time frames. production design-new manufacturing process - new product development. developing customized manufacturing solutions. (steel, power & cement, petrochemical sector.) executing cost saving techniques/ measures and modifications to achieve substantial reduction in o & m expenditures and work within the budget maintaining fruitful relationships with existing customers. company - rotex engineers & manufacturing pvt. ltd description - nov - june rotex engineers & manufacturing pvt. ltd dombivali midc, kaylan. role & responsibilities:- to manage & enhance the activity related to proposal of pneumatics/fabrication projects & products. project execution, vendor development, supply chain management, interacting with vendors to ensure timely action of order & negotiating with the vendor. production design-new manufacturing process - new product development. developing customized manufacturing solutions. (steel, power & cement petrochemical sector.) preparation of technical data sheets as per tender specification. calculate price structure and analyze cost proposals. monitoring progress throughout the job & comparing it with the schedule of work. maintaining fruitful relationships with existing customers review vendor evaluation & vendor registration from supply time & quality of products. examine and review products and supplies to ensure quality. company - design & proposal engineering description - m/s schrader duncan ltd, pune, ranjangaon midc role & responsibilities:- project execution, vendor development, supply chain management, interacting with vendors to ensure timely action of order & negotiating with the vendor. design or modify mechanical assemblies, hydraulic/pneumatic assemblies, fabricated assy along with layouts/schematics and/or detailed drawings as per specification. generate electrical or mechanical product specifications, standard operating procedures, maintenance manuals & doing basic mechanical design, if required. participate in growth & developing innovative solutions with design & development, sales & marketing team. define, coordinate, perform and generate engineering test reports & engineering analysis. in co-ordination with production manager implement and assure that all manufacturing processes are being followed according to process flow in relevant departments. maintain records of non-conformity (nc) raised during internal audits and close the same with corrective actions. maintain records of obsolete documents and remain in touch with all hods. maintain iso documents pertaining to iso- and bring awareness among employees. coordinate & communicate with channel partners, o.e.m.s, dealers, consultants & end customers for design & offer technically feasible. carry out internal audit as per audit plan and schedule, maintain the record of controlled drawings. company - fabrication field-hoist, goods lifts description - joist- o- mech engg. pvt. ltd, rabale midc, thane role & responsibilities:- detailing of drawing, preparations of bom & raw material inspection. prototype manufacturing (d modeling) company - fabrication field description - company - mukand ltd, kurla description - role & responsibilities:- raw material inspection, preparations of gauge for inspection, marking on housing for machining, checking surface finishing","['backend/ cloud engineer', 'bridge engineer (brse, japanese)', 'bridge system engineer (bse)', 'senior product owner (product manager/business analyst)']"
advocate,ha noi,education details llb. dibrugarh university advocate skill details legal.- exprience - less than year monthscompany details company - legal. description - advocate,"['systems support engineer (.net, java, devops)', 'service desk engineer ', 'senior backend developer (c#, .net)', 'senior devops security engineer [joining bonus]', 'lead software developer']"
health and fitness,ha noi,"skills: computer: can easily operate in operating system like windows . can work in ms-office (word, excel, and powerpoint). can easily operate internet & gym management software (website & mobile application).education details january advance diploma in hotel management j&w institute of hotel management gym management & consultant gym management & consultant - sculpt fitness centre skill details excel- exprience - months powerpoint- exprience - months word- exprience - months gym management software- exprience - monthscompany details company - sculpt fitness centre description - - presentsales, fitness, operations company - ab's fitness club description - fitness, sales, administration, facility & house-keeping company - ab's fitness club description - sales, fitness, operations company - ultimate fitness club description - company - tripod fitness arena description - sales, administration company - c k fitness description - sales & fitness staff recruitment key roles: designing and promoting activities to meet customer demand and generate revenue; advertising and promoting the club or centre to increase usage, considering market research; recruiting, training and supervising staff, including managing staff rotas; taking daily/weekly/monthly reporting from fitness manager, sales team lead and housekeeping head; carrying out health and safety checks on the equipment and site; retaining existing members by providing good quality of service and by providing good sales programs; prioritizing target activities and user groups (especially in local authority centres); customer relationship; providing training to the sales staff to deal with enquiries, complaints and emergencies delivering some fitness training or coaching in sports activities - often a good way of maintaining contact with customers; preparing and checking budgets and generating revenue; cashing-up and keeping stock records of supplements; utilizing group-x studio by scheduling exciting grouper's batches; writing monthly or weekly reports and preparing cash projections for centre owners; enhancing profitability by organizing and delivering an appropriate range of fitness activities/programs; keeping statistical and financial records; keeping check on the maintenance of fitness equipment & other facilities; ensuring compliance with health and safety legislation; maintaining customer service, fitness & hospitality standards; planning; undertaking administrative tasks; promoting and marketing the business; company - endurance fitness club description - fitness, sales, administration, facility & house-keeping","['product manager (logistics, b2b)', 'technical scrum master']"
hadoop,ho chi minh,"education details hadoop developer hadoop developer - infosys skill details company details company - infosys description - project description: the banking information had stored the data in different data ware house systems for each department but it becomes difficult for the organization to manage the data and to perform some analytics on the past data, so it is combined them into a single global repository in hadoop for analysis. responsibilities: analyze the banking rates data set. create specification document. provide effort estimation. develop spark scala, spark sql programs using eclipse ide on windows/linux environment. create kpi's test scenarios, test cases, test result document. test the scala programs in linux spark standalone mode. setup multi cluster on aws, deploy the spark scala programs provided solution using hadoop ecosystem - hdfs, mapreduce, pig, hive, hbase, and zookeeper. provided solution using large scale server-side systems with distributed processing algorithms. created reports for the bi team using sqoop to export data into hdfs and hive. provided solution in supporting and assisting in troubleshooting and optimization of mapreduce jobs and pig latin scripts. deep understanding of hadoop design principles, cluster connectivity, security and the factors that affect system performance. worked on importing and exporting data from different databases like oracle, teradata into hdfs and hive using sqoop, tpt and connect direct. import and export the data from rdbms to hdfs/hbase wrote script and placed it in client side so that the data moved to hdfs will be stored in temporary file and then it will start loading it in hive tables. developed the sqoop scripts in order to make the interaction between pig and mysql database. involved in developing the hive reports, partitions of hive tables. created and maintained technical documentation for launching hadoop clusters and for executing hive queries and pig scripts. involved in running hadoop jobs for processing millions of records of text data environment: java, hadoop, hdfs, map-reduce, pig, hive, sqoop, flume, oozie, hbase, spark, scala, linux, nosql, storm, tomcat, putty, svn, github, ibm websphere v.. project #: telecommunications hadoop developer description to identify customers who are likely to churn and -degree view of the customer is created from different heterogeneous data sources. the data is brought into data lake (hdfs) from different sources and analyzed using different hadoop tools like pig and hive. responsibilities: installed and configured apache hadoop tools like hive, pig, hbase and sqoop for application development and unit testing. wrote mapreduce jobs to discover trends in data usage by users. involved in database connection using sqoop. involved in creating hive tables, loading data and writing hive queries using the hiveql. involved in partitioning and joining hive tables for hive query optimization. experienced in sql db migration to hdfs. used nosql(hbase) for faster performance, which maintains the data in the de-normalized way for oltp. the data is collected from distributed sources into avro models. applied transformations and standardizations and loaded into hbase for further data processing. experienced in defining job flows. used oozie to orchestrate the workflow. implemented fair schedulers on the job tracker to share the resources of the cluster for the map reduce jobs given by the users. exported the analyzed data to the relational databases using hive for visualization and to generate reports for the bi team. environment: hadoop, hive, linux, mapreduce, hdfs, hive, python, pig, sqoop, cloudera, shell scripting, java (jdk .), java , oracle g, pl/sql, sql*plus","['senior data engineer', 'sr ai research&engineer(data analyst, python, database)', 'data engineer (sql, data analyst, agile)']"
mechanical engineer,ho chi minh,"education details june to june be mechanical engineering pune, maharashtra savitribai phule pune university mechanical design engineer mechanical design engineer skill details microsoft office, autocad, catia, solidworks- exprience - monthscompany details company - push engineering pvt ltd description - currently i am working as mechanical design engineer in push engineering pvt ltd. all types of ice making plant are designed and manufactured in our company. design includes design of pressure vessel ,condenser, conveyor with the help of d modelling software. also bom preparation of material.erp system. company - central water and power research station description - pune) (govt. of india) year experience as a research assistant of r&d department of mechanical workshop at central water and power research station, khadakwasla, pune (govt. of india) experiences different project of generation of sea waves in laboratory useful for design of port and harbor structures of mumbai, chennai, goa and foreign countries like japan, bangladesh etc. wave generated by wave maker comes under mechanical workshop. wave generated with the help of hydraulic as well as pneumatic system and also by regular wave generator. i experiences sea wave generation by hydraulic system. experiences design of hydraulic system includes design of servo actuator, axial piston pump and electric motor under supervision and guidance by 'scientist 'b' at cwprs. softwares skills autocad catia v ms office proe extra curricular activity organize a national level technical event in mechanical student association (mesa) coordinator of mesa as a treasurer. attending d printing workshop in college. work readiness training conducted by nasscom foundation and global talent track in college. life skills training conducted by nasscom foundation and global talent track in college. personal atributes positive attitude quick learner team leader","['bridge system engineer (bse)', 'mid / senior backend engineer (remote full-time)', 'bridge engineer (brse, japanese)']"
python developer,da nang,"technical proficiencies platform: ubuntu/fedora/cent os/windows database: mysql languages: python, tensorflow, numpy, c, c++ education details january me computer engineering pune, maharashtra savitribai phule pune university january b.e computer engineering pune, maharashtra savitribai phule pune university january ryk science college, maharashtra state board january maharashtra state board python developer python developer skill details c++- exprience - months mysql- exprience - months python- exprience - monthscompany details company - fresher description - python programming","['   senior full-stack developer (python)', 'machine learning engineer (python, cloud, ai)', 'backend engineer (typescript, rust, python)', 'python engineer (back-end)', 'cloud system engineer']"
