job_id,company_name,job_title,tag_list,location,three_reasons,description
mb-bank:ai_engineer_python_c_language,mb-bank,AI Engineer ( Python/ C language ),"['Blockchain', 'Python', 'C language']","Tòa nhà MB, số 18 Lê Văn Lương, Cau Giay, Ha Noi","Mức lương cạnh tranh, hấp dẫn
Môi trường làm việc chuyên nghiệp, thân thiện
Được làm việc với các hệ thống hiện đại, tiên tiến","Phát triển, ứng dụng, tối ưu, tích hợp mô hình AI cho các bài toán ứng dụng trong hoạt động Kinh doanh/Ngân hàng về các lĩnh vực Computer Vision, NLP...
Tham gia vào các công đoạn triển khai dịch vụ: Kiến trúc hệ thống, thiết kế mô hình hoạt động, luồng hoạt động, chức năng, tối ưu performance
Coding, test metrics, service và unittest theo mô hình DevOps, MLOps
Nghiên cứu, tìm hiểu các bài báo khoa học mới nhất về AI, ML, DL
Tốt nghiệp Đại học các chuyên ngành Công nghệ thông tin, Khoa học máy tính, Điện tử viễn thông, Công nghệ phần mềm, Hệ thống thông tin ...
Kinh nghiệm làm việc ở vị trí tuyển dụng tối thiểu 1,5 năm
Kinh nghiệm về ngôn ngữ lập trình Python, C/C++
Kinh nghiệm về Service/MicroService với một trong các framework FastAPI/Flask/Django
Kinh nghiệm về Tensorflow/Pytorch/DGL/PyG/Onnx
Hiểu biết căn bản về API (Restful/gRPC), Lập trình an toàn, đảm bảo & tối ưu hiệu năng
Hiểu biết căn bản về Git và Git Flow, Docker/ Kubernete, Kubeflow/MLFlow, TritonServer/ Tensorflow Serving
Kiến thức về các dạng bài toán Supervised learning, Reinforcement learning
Kiến thức về xử lý Ảnh/Video/Âm thanh/Ngôn ngữ tự nhiên
Kiến thức CNN/RNN/Transformer/Attention, SVM/KNN/Clustering, GNN vv...
Kỹ thuật Knowledge Distiller/ Model Prune,  Model Quantization
Thưởng tháng lương 13; Thưởng thành tích 06 tháng, 1 năm ; Thưởng các dịp lễ tết trong năm ; Thưởng theo danh hiệu cá nhân và tập thể…
Du lịch nghỉ dưỡng hàng năm, Khám sức khỏe định kì; Gói bảo hiểm sức khỏe cá nhân và người thân (MIC); Quà tặng và ngày nghỉ sinh nhật hưởng nguyên lương
Được thử sức với các nền tảng công nghệ mới, tham gia vào những dự án chuyển đổi lớn của ngân hàng
Có cơ hội học hỏi từ các Chuyên gia, lãnh đạo nội bộ hàng đầu tại MB trong lĩnh vực IT, Tài chính ngân hàng
Được trải nghiệm các phương pháp học tập mới và phát triển năng lực theo lộ trình công danh.
Hưởng các chính sách hỗ trợ, khuyến khích học tập, nâng cao trình độ và phát triển bản thân (chứng chỉ nghề quốc tế...)
Những người cộng sự thân thiện và tài năng
Cơ sở vật chất, không gian làm việc xanh và hiện đại."
mb-bank:backend_developer_javaspringoracle_all_level,mb-bank,Backend Developer (Java/Spring/Oracle) - All Level,"['Java', 'Oracle', 'Spring']","Tòa nhà MB, số 18 Lê Văn Lương, Cau Giay, Ha Noi","Mức lương cạnh tranh, hấp dẫn
Môi trường làm việc chuyên nghiệp, thân thiện
Được làm việc với các hệ thống hiện đại, tiên tiến","Lập trình, phát triển các hệ thống, ứng dụng của Ngân hàng.
Phát triển hoặc phối hợp cùng các nhà cung cấp phát triển và triển khai các giải pháp CNTT.
Quản lý, phát triển dịch vụ tích hợp với các hệ thống core như: T24, WAY4, BPM, CRM, CIC ...
Quản lý, phát triển API trên API Gateway phục vụ tích hợp với các đối tác trong nước và quốc tế.
Nghiên cứu, thử nghiệm, triển khai áp dụng các xu hướng công nghệ mới vào việc phát triển: GraphQL, Docker Container (K8s), CICD, EventSourcing, CQRS, NoSQL ...
Duy trì hoạt động của các sản phẩm dịch vụ trong phạm vi quản lý.
Tham gia phân tích nghiệp vụ, đề xuất giải pháp, phương án triển khai nhằm cải tiến, nâng cao hiệu quả của các dự án trong quá trình làm việc.
Lên timeline công việc, chia tasks cho các thành viên trong nhóm, giám sát và hỗ trợ các thành viên hoàn thành đúng cam kết.
Dẫn dắt nhóm 03-06 nhân sự, giúp thành viên cùng phát triển và hoàn thành nhiệm vụ được giao
Tốt nghiệp Đại học chính quy các chuyên ngành Công nghệ thông tin, Khoa học máy tính, Điện tử viễn thông, Công nghệ phần mềm, Hệ thống thông tin .…
Thành thạo tiếng Anh (TOEIC 450 trở lên hoặc tương đương).
Hiểu biết về quy trình phát triển phần mềm và quen thuộc với tư duy làm việc Agile.
Tối thiểu 02 năm kinh nghiệm làm việc tại các công ty, dự án về lập trình BackEnd.
Thành thạo ít nhất 01 trong các ngôn ngữ BackEnd (VD: Java).
Thành thạo, làm việc tốt với Spring framework: Spring Core, Spring Security, Spring Boots.
Thành thạo ít nhất 01 trong các loại database: Oracle, SQLserver, PostgreSQL, Mongodb ...
Có kinh nghiệm trong mảng tài chính ngân hàng là một lợi thế.
Tối thiểu 03 năm kinh nghiệm làm việc tại các công ty, dự án về lập trình BackEnd; trong đó, tối thiểu 01 năm kinh nghiệm làm việc với microservices.
Có kiến thức tốt về kiến trúc hệ thống; thông thuộc nhiều thiết kế phần mềm.
Hiểu biết sâu về các kỹ thuật/công nghệ: MySQL, Redis, MongoDB, PostgreSQL, Kafka …
Có khả năng tuning performance của ứng dụng, hệ thống.
Có kinh nghiệm phát triển, sử dụng cloud, FrontEnd là một lợi thế.
Mức lương cạnh tranh, hấp dẫn (Thưởng xếp loại thực hiện công việc 6 tháng/lần, thưởng sinh nhật ngân hàng, thưởng các ngày lễ tết trong năm…).
Chế độ phúc lợi cạnh tranh: Du lịch hàng năm, Khám sức khỏe định kì hàng năm; Gói bảo hiểm sức khỏe; Các hoạt động tri ân, chăm lo đời sống tinh thần CBNV và Thân nhân...
Môi trường làm việc chuyên nghiệp, thân thiện, cởi mở.
Được làm việc với các hệ thống hiện đại, tiên tiến nhất thị trường, áp dụng các công nghệ hàng đầu về an ninh bảo mật để đảm bảo an toàn cho người sử dụng.
Cơ hội học hỏi nghiệp vụ ngân hàng."
mb-bank:frontend_dev_javascript_reactjs_angular_khối_cntt,mb-bank,Frontend Dev (JavaScript/ ReactJS/ Angular) - Khối CNTT,"['JavaScript', 'ReactJS', 'Angular']","Tòa nhà MB, số 18 Lê Văn Lương, Cau Giay, Ha Noi","Mức lương cạnh tranh, hấp dẫn
Môi trường làm việc chuyên nghiệp, thân thiện
Được làm việc với các hệ thống hiện đại, tiên tiến","Xây dựng/ phát triển các hệ thống của Ngân hàng.
Xây dựng công cụ/ tiện ích trên các nền tảng ReactJS/ Angular, Micro-FrontEnd.
Tham gia phân tích và thiết kế tính năng cho phần mềm.
Hỗ trợ cải tiến, maintain trong quá trình vận hành.
Tốt nghiệp Đại học các chuyên ngành Công nghệ thông tin, Khoa học máy tính, Điện tử viễn thông, Công nghệ phần mềm, Hệ thống thông tin ...
Có tối thiểu 01 năm kinh nghiệm phát triển ứng dụng web.
Có kinh nghiệm làm việc với Webpack, Npm, Babel
Có kinh nghiệm sử dụng các bộ library thiết kế giao diện: Material design, Ant design, Tailwind ...
Có kinh nghiệm làm việc với Git
Thành thạo JavaScript, TypeScript, HTML5/ CSS3, SCSS/ LESS
Thành thạo ít nhất 01 trong các framework SPA như: ReactJS, Angular, Svelte, Vue ...
Biết hoặc có kinh nghiệm tối ưu performance cho Web app
Có kinh nghiệm làm việc và phát triển kiến trúc Micro-FrontEnd"
mb-bank:backend_developer_javaspring_khối_ngân_hàng_số,mb-bank,Backend Developer (Java/Spring) - Khối Ngân hàng số,"['Java', 'MySQL', 'Spring']","Tòa nhà MB, số 18 Lê Văn Lương, Cau Giay, Ha Noi","Mức lương cạnh tranh, hấp dẫn
Môi trường làm việc chuyên nghiệp, thân thiện
Được làm việc với các hệ thống hiện đại, tiên tiến","Thiết kế cấu trúc ứng dụng
Lập trình, phát triển các ứng dụng của Ngân hàng
Thiết kế cơ sở dữ liệu ứng dụng
Thiết kế và triển khai API
Nghiên cứu, thử nghiệm, triển khai áp dụng các xu hướng công nghệ mới vào việc phát triển
Tốt nghiệp Đại học các chuyên ngành Công nghệ thông tin, Khoa học máy tính, Điện tử viễn thông, Công nghệ phần mềm, Hệ thống thông tin ....
Có ít nhất 3 năm kinh nghiệm lập trình ứng dụng Server sử dụng Java
Có kinh nghiệm về Java application framework (Spring, Spring boot, Hibernate, Jupiter, Mockito, Swagger, Flyway, Liquibase,...)
Có kinh nghiệm thiết kế và triển khai REST API
Kinh nghiệm về phát triển ứng dụng sử dụng dịch vụ nhắn tin, dịch vụ bộ nhớ đệm
Kinh nghiệm làm việc với các máy chủ ứng dụng (Tomcat, JBoss, WebLogic...)
Kinh nghiệm về RDBMS và Hệ thống cơ sở dữ liệu hiện đại (MySQL, PostgreSQL ...), Có kinh nghiệm tối ưu hóa hiệu suất ứng dụng và xử lý lượng lớn dữ liệu
Có kinh nghiệm về bảo mật dữ liệu (OAuth2, OIDC, OWASP, SAST, DAST,...), kinh nghiệm về Modern protocol (MQTT, WebSocket, RPC,...)
Có kinh nghiệm sử dụng các dịch vụ cloud (AWS, Azure, GCP,...)
Ưu tiên kinh nghiệm về các công nghệ lập trình Web (HTML5, Bootstrap, jQuery, AngularJS, ReactJs...) và các công nghệ hiện đại (micro-services, IOT, big-data, AI, Blockchain...)"
mb-bank:devops_engineer_python_nodejs_awskhối_ngân_hàng_số,mb-bank,DevOps Engineer (Python/ NodeJS/ AWS)-Khối Ngân hàng số,"['DevOps', 'Python', 'AWS']","Tòa nhà MB, số 18 Lê Văn Lương, Cau Giay, Ha Noi","Mức lương cạnh tranh, hấp dẫn
Môi trường làm việc chuyên nghiệp, thân thiện
Được làm việc với các hệ thống hiện đại, tiên tiến","Hợp tác với các thành viên trong nhóm để xây dựng, thiết kế và cung cấp các hệ thống chức năng nhằm cải thiện trải nghiệm của khách hàng.
Hỗ trợ toàn bộ vòng đời ứng dụng, từ ý tưởng đến thiết kế, kiểm thử, vận hành...
Triển khai cập nhật sản phẩm, xác định vấn đề, fix lỗi và triển khai tích hợp để đáp ứng nhu cầu của khách hàng.
Triển khai quy trình CICD sử dụng công cụ GitLab CI, Bamboo CI, công cụ SAST và DAST.
Xây dựng quy trình tự động hóa cho kiểm thử và triển khai trên cloud hoặc on-premises bằng cách sử dụng cơ sở hạ tầng như mã (Terraform, AWS CloudFormation).
Thực hiện phân tích nguyên nhân gốc của các lỗi sản xuất cũng như điều tra và giải quyết các vấn đề về kỹ thuật.
Phát triển các scripts để tự động trực quan hóa và thiết kế quy trình để khắc phục sự cố và bảo trì hệ thống.
Nghiên cứu các công nghệ mới.
Tốt nghiệp Đại học các chuyên ngành Khoa học máy tính, Công nghệ thông tin hoặc chuyên ngành tương đương
Có hơn 2 năm phát triển và vận hành các hệ thống quy mô lớn. Có kiến ​​thức tốt về quy trình phát triển phần mềm
Kiến thức tốt về một trong các ngôn ngữ lập trình: Python, NodeJS, C#, Java,…
Am hiểu với hệ sinh thái AWS hoặc Azure, từ tạo cơ sở hạ tầng đến triển khai dịch vụ. Có kinh nghiệm về Network Lan hoặc Cloud
Kiến thức tiêu chuẩn về hệ điều hành Linux/Windows, Docker, K8s
Ưu tiên kinh nghiệm làm việc với tư cách là Kỹ sư DevOps hoặc vai trò kỹ thuật phần mềm tương tự"
mb-bank:fullstack_developer_java_reactjssql_all_level,mb-bank,Fullstack Developer (Java/ ReactJS/SQL) - All Level,"['Java', 'SQL', 'NodeJS']","Tòa nhà MB, số 18 Lê Văn Lương, Cau Giay, Ha Noi","Mức lương cạnh tranh, hấp dẫn
Môi trường làm việc chuyên nghiệp, thân thiện
Được làm việc với các hệ thống hiện đại, tiên tiến","Lập trình, phát triển các hệ thống, ứng dụng của Ngân hàng.
Phát triển hoặc phối hợp cùng các nhà cung cấp phát triển và triển khai các giải pháp CNTT.
Quản lý, phát triển dịch vụ tích hợp với các hệ thống core như: T24, WAY4, BPM, CRM, CIC ...
Nghiên cứu, thử nghiệm, triển khai áp dụng các xu hướng công nghệ mới vào việc phát triển: GraphQL, Docker Container (K8s), CICD, EventSourcing, CQRS, NoSQL ...
Duy trì hoạt động của các sản phẩm dịch vụ trong phạm vi quản lý.
Tham gia phân tích nghiệp vụ, đề xuất giải pháp, phương án triển khai nhằm cải tiến, nâng cao hiệu quả của các dự án trong quá trình làm việc.
Lên timeline công việc, chia tasks cho các thành viên trong nhóm, giám sát và hỗ trợ các thành viên hoàn thành đúng cam kết.
Dẫn dắt nhóm 03-06 nhân sự, giúp thành viên cùng phát triển và hoàn thành nhiệm vụ được giao.
Tốt nghiệp Đại học chính quy các chuyên ngành Công nghệ thông tin, Khoa học máy tính, Điện tử viễn thông, Công nghệ phần mềm, Hệ thống thông tin ...
Thành thạo tiếng Anh (TOEIC 450 trở lên hoặc tương đương).
Hiểu biết về quy trình phát triển phần mềm và quen thuộc với tư duy làm việc Agile.
Tối thiểu 01 năm kinh nghiệm làm việc tại các công ty, dự án về lập trình Fullstack.
Thành thạo ít nhất 01 trong các ngôn ngữ BackEnd (VD: Java, NodeJS) và FrontEnd frameworks (VD: Angularjs, ReactJS).
Thành thạo ít nhất 01 trong các loại database: Oracle, SQLserver, PostgreSQL, Mongodb ...
Hiểu biết về restful, GraqpQL.
Có kinh nghiệm trong mảng tài chính ngân hàng là một lợi thế.
Tối thiểu 03 năm kinh nghiệm làm việc tại các công ty, dự án về lập trình BackEnd; trong đó, tối thiểu 01 năm kinh nghiệm làm việc với microservices.
Hiểu biết sâu về các kỹ thuật/công nghệ: MySQL, Redis, MongoDB, PostgreSQL, Kafka …
Có khả năng tuning performance của ứng dụng, hệ thống.
Có kinh nghiệm phát triển, sử dụng cloud, FrontEnd là một lợi thế.
Mức lương cạnh tranh, hấp dẫn (Thưởng xếp loại thực hiện công việc 6 tháng/lần, thưởng sinh nhật ngân hàng, thưởng các ngày lễ tết trong năm…).
Chế độ phúc lợi cạnh tranh: Du lịch hàng năm, Khám sức khỏe định kì hàng năm; Gói bảo hiểm sức khỏe; Các hoạt động tri ân, chăm lo đời sống tinh thần CBNV và Thân nhân...
Môi trường làm việc chuyên nghiệp, thân thiện, cởi mở.
Được làm việc với các hệ thống hiện đại, tiên tiến nhất thị trường, áp dụng các công nghệ hàng đầu về an ninh bảo mật để đảm bảo an toàn cho người sử dụng.
Cơ hội học hỏi nghiệp vụ ngân hàng."
mb-bank:business_analyst_agile_scrum_khối_cntt,mb-bank,Business Analyst (Agile/ Scrum) - Khối CNTT,"['Business Analyst', 'Agile', 'Scrum']","Tòa nhà MB, số 18 Lê Văn Lương, Cau Giay, Ha Noi","Mức lương cạnh tranh, hấp dẫn
Môi trường làm việc chuyên nghiệp, thân thiện
Được làm việc với các hệ thống hiện đại, tiên tiến","Tiếp nhận các yêu cầu về sản phẩm, dịch vụ đối với CNTT
Thực hiện nghiệp vụ phân tích, làm rõ yêu cầu và thống nhất với các bên liên quan
Xây dựng các tài liệu phân tích, đặc tả yêu cầu, mô hình hóa quy trình nghiệp vụ
Tham gia giám sát quá trình kiểm thử nhằm đảm bảo chất lượng của hệ thống CNTT đáp ứng đúng và đủ yêu cầu đã đặt ra
Tốt nghiệp hệ chính quy các Trường Đại học trong nước hoặc nước ngoài
Chuyên ngành đào tạo: Công nghệ thông tin, Toán tin, Điện tử Viễn thông, kế toán, Tài chính Ngân hàng
Có ít nhất 01 năm kinh nghiệm trong công tác phân tích nghiệp vụ tại các Ngân hàng, Tổ chức Tài chính, Tập đoàn & Công ty về CNTT
Mức lương cạnh tranh, hấp dẫn (Thưởng xếp loại thực hiện công việc 6 tháng/lần, thưởng sinh nhật ngân hàng, thưởng các ngày lễ tết trong năm…).
Chế độ phúc lợi cạnh tranh: Du lịch hàng năm, Khám sức khỏe định kì hàng năm; Gói bảo hiểm sức khỏe; Các hoạt động tri ân, chăm lo đời sống tinh thần CBNV và Thân nhân...
Môi trường làm việc chuyên nghiệp, thân thiện, cởi mở.
Được làm việc với các hệ thống hiện đại, tiên tiến nhất thị trường, áp dụng các công nghệ hàng đầu về an ninh bảo mật để đảm bảo an toàn cho người sử dụng.
Cơ hội học hỏi nghiệp vụ ngân hàng."
mb-bank:manual_tester_agile_scrum_khối_cntt,mb-bank,Manual Tester (Agile/ Scrum)- Khối CNTT,"['Tester', 'Agile', 'Scrum']","Tòa nhà MB, số 18 Lê Văn Lương, Cau Giay, Ha Noi","Mức lương cạnh tranh, hấp dẫn
Môi trường làm việc chuyên nghiệp, thân thiện
Được làm việc với các hệ thống hiện đại, tiên tiến","Tiếp nhận các yêu cầu kiểm thử các sản phẩm, dịch vụ CNTT
Thực hiện tìm hiểu, phân tích và làm rõ yêu cầu. Xây dựng chiến lược kiểm thử cho yêu cầu sản phẩm, dịch vụ CNTT
Xây dựng kế hoạch kiểm thử, viết kịch bản, tạo báo cáo kiểm thử, báo cáo lỗi kiểm thử. Xây dựng tài liệu cho các yêu cầu sau khi đã thực hiện
Điều phối công việc trong nhóm từ 4-10 nhân sự
Thực hiện kiểm thử, đánh giá chất lượng sản phẩm
Phân tích /đánh giá nguyên nhân lỗi sau golive
Tốt nghiệp hệ chính quy các Trường Đại học chuyên ngành đào tạo: Công nghệ thông tin, Toán tin, Điện tử Viễn thông, Kế Toán, Tài chính Ngân hàng...
Ưu tiên kinh nghiệm từ các bộ phận nghiệp vụ của các ngân hàng thương mại
Có kinh nghiệm làm việc với Agile/Scrum
Có kiến thức tổng quan về ngân hàng và am hiểu nghiệp vụ ngân hàng
Có hiểu biết sâu, rộng về hoạt động kiểm thử phần mềm
Có kinh nghiệm kiểm thử phần mềm với Android và IOS
Có chứng chỉ  đào tạo về kiểm thử là 1 lợi thế
Có kinh nghiệm trong công tác kiểm thử tự động là 1 lợi thế
Có kinh nghiệm quản lý nhóm
Kỹ năng phân tích tài liệu, yêu cầu, báo cáo, viết tài liệu tốt
Kỹ năng tư duy/logic tốt, giao tiếp, thuyết trình, thuyết phục
Tiếng Anh tốt, có thể làm việc trực tiếp với các đối tác nước ngoài là một lợi thế
Mức lương cạnh tranh, hấp dẫn (Thưởng xếp loại thực hiện công việc 6 tháng/lần, thưởng sinh nhật ngân hàng, thưởng các ngày lễ tết trong năm…).
Chế độ phúc lợi cạnh tranh: Du lịch hàng năm, Khám sức khỏe định kì hàng năm; Gói bảo hiểm sức khỏe; Các hoạt động tri ân, chăm lo đời sống tinh thần CBNV và Thân nhân...
Môi trường làm việc chuyên nghiệp, thân thiện, cởi mở.
Được làm việc với các hệ thống hiện đại, tiên tiến nhất thị trường, áp dụng các công nghệ hàng đầu về an ninh bảo mật để đảm bảo an toàn cho người sử dụng.
Cơ hội học hỏi nghiệp vụ ngân hàng."
mb-bank:chuyên_gia_phát_triển_dịch_vụ_api_khối_ngân_hàng_số,mb-bank,Chuyên gia Phát triển dịch vụ (API) - Khối Ngân hàng số,"['Business Analyst', 'Agile']","Tòa nhà MB, số 18 Lê Văn Lương, Cau Giay, Ha Noi","Mức lương cạnh tranh, hấp dẫn
Môi trường làm việc chuyên nghiệp, thân thiện
Được làm việc với các hệ thống hiện đại, tiên tiến","Mức lương cạnh tranh, hấp dẫn (Thưởng xếp loại thực hiện công việc 6 tháng/lần, thưởng sinh nhật ngân hàng, thưởng các ngày lễ tết trong năm…).
Chế độ phúc lợi cạnh tranh: Du lịch hàng năm, Khám sức khỏe định kì hàng năm; Gói bảo hiểm sức khỏe; Các hoạt động tri ân, chăm lo đời sống tinh thần CBNV và Thân nhân...
Môi trường làm việc chuyên nghiệp, thân thiện, cởi mở.
Được làm việc với các hệ thống hiện đại, tiên tiến nhất thị trường, áp dụng các công nghệ hàng đầu về an ninh bảo mật để đảm bảo an toàn cho người sử dụng.
Cơ hội học hỏi nghiệp vụ ngân hàng."
mb-bank:cv_phát_triển_dịch_vụ_thẻ_khdn_ba_thẻ_k_ngân_hàng_số,mb-bank,CV Phát triển dịch vụ thẻ KHDN (BA thẻ) K. Ngân hàng số,"['Business Analyst', 'Agile', 'Product Owner']","Tòa nhà MB, số 18 Lê Văn Lương, Cau Giay, Ha Noi","Mức lương cạnh tranh, hấp dẫn
Môi trường làm việc chuyên nghiệp, thân thiện
Được làm việc với các hệ thống hiện đại, tiên tiến","Thực hiện phát triển các giải pháp công nghệ, nghiệm thu sản phẩm, dịch vụ, thực hiện triển khai sản phẩm/ dịch vụ thẻ Khách hàng doanh nghiệp của Ngân hàng trên nền tảng App MB và các hệ thống liên quan
Thực hiện phát triển, nghiệm thu hạ tầng dịch vụ thẻ trên nền tảng App MBBank và các nên tảng liên quan theo đúng thiết kế giải pháp, đảm bảo end to end trải nghiệm khách hàng
Xây dựng giải pháp, nghiệm thu sản phẩm để triển khai các mô kinh doanh, hoàn thiện các loại tài liệu bàn giao cho các đơn vị liên quan để thực hiện triển khai bán và tích hợp dịch vụ với đối tác.
Thực hiện hỗ trợ xử lý các vấn đề phát sinh trong quá trình xây dựng & môi trường Production liên quan đến thiết kế sản phẩm.
Thực hiện kiểm soát chất lượng dịch vụ, thống kê, đo lường và lên kế hoạch cải tiến chất lượng dịch vụ.
Tốt nghiệp Đại học chuyên ngành Công nghệ thông tin, Điện tử viễn thông/Kinh tế/Tài chính Ngân hàng hoặc tương đương
Ưu tiên kinh nghiệm làm việc liên quan đến các lĩnh vực: Thương mại điện tử, thanh toán (thẻ/điện tử…), kinh tế, tài chính ngân hàng, nghiên cứu và tư vấn đầu tư.
Ưu tiên có chứng chỉ PSPO I trở lên
Kinh nghiệm BA, PO là một lợi thế
Toeic 450 hoặc chứng chỉ tương đương"
